# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Sat Oct  4 03:30:19 2025,,,,,,,,,,,
#,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN tid:            TESS Input Catalog ID,,,,,,,,,,,
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC),,,,,,,,,,,
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD],,,,,,,,,,,
# COLUMN pl_orbper:      Planet Orbital Period Value [days],,,,,,,,,,,
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours],,,,,,,,,,,
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm],,,,,,,,,,,
# COLUMN pl_insol:       Planet Insolation Value [Earth flux],,,,,,,,,,,
# COLUMN st_tmag:        TESS Magnitude,,,,,,,,,,,
# COLUMN st_dist:        Stellar Distance [pc],,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature Value [K],,,,,,,,,,,
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius Value [R_Sun],,,,,,,,,,,
#,,,,,,,,,,,
tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
50365310,FP,2459229.63,2.1713484,2.0172196,656.8860989,22601.94858,9.604,485.735,10249,4.19,2.16986
88863718,PC,2459987.949,1.9316462,3.166,1286,44464.5,9.42344,295.862,7070,4.03,2.01
124709665,FP,2459224.688,1.8675574,1.408,1500,2860.61,9.299501,943.109,8924,,5.73
106997505,FP,2458493.396,2.74323,3.167,383.41,1177.36,9.3003,7728.17,5388.5,4.15,
238597883,FP,2459987.047,3.5730141,3.37,755,54679.3,9.1355,356.437,9219,4.14,2.15
169904935,FP,2459985.157,4.5505945,2.654,3731,414.775,9.1309,100.711,5613,,1.09
156115721,FP,2459229.985,2.5047918,4.3797563,2270.540219,1750.932635,9.2386,,6616,,1.53429
65212867,PC,2459247.931,6.9989206,3.953,2840,448.744,8.87759,283.291,6596,3.71,2.7
440801822,FP,2460258.236,2.0483755,2.767,483,5644.4,8.9362,144.297,6858.5,4.2,1.57
107782586,PC,2459229.231,1.9600277,2.0065257,1707.627269,1063.342296,8.4331,866.147,8868.7,,
231663901,KP,2458326.009,1.4303699,1.6165994,18960.71229,1281.240825,12.4069,375.31,5600,4.48851,0.890774
139853601,FP,2459228.878,0.6808702,2.4634563,1507.800689,87140.69959,8.45086,485.122,9438,,1
114018671,PC,2459984.628,2.4704981,2.191,250,575.597,8.2388,52.62,5413.7,4.46,0.94
427508467,APC,2459252.51,0.884182,1.621,1890,112144,8.12718,295.959,8928,3.92,2.72
97700520,FP,2459232.248,5.4255548,3.9637474,14939.63422,273.5880696,7.6095,510.295,8868.7,,
96246348,FP,2459985.657,1.4095184,0.9484999,2841.510326,1650.422071,7.678,224.672,9307,,
155044736,FP,2459963.61,1.3730466,2.5708515,1301.506534,3160.632833,10.7069,906.496,4897,,6.7996101
175310067,FP,2459238.831,12.6889415,7.9201001,3232.852789,425.1594177,10.6257,368.646,7601,4.31,1.53641
182943944,FP,2458518.965,1.10422,2.37,14177.7,39459.3,10.6019,406.997,6995.2,4.07,1.61
291555748,FP,2458492.781,4.95912,2.509,7440,673.55,10.6254,360.541,5889,3.86,2
341420329,PC,2459232.447,5.2341008,3.7078139,20796.94163,1453.666385,10.6348,399.544,7645,4.3,1.56203
149603524,KP,2460187.917,4.4119378,3.65,15062,653.252,9.7109,175.631,6280,4.32092,1.21
140706664,FP,2458521.291,3.28892,3.793,10518.9,29832.6,10.7173,906.827,8734.2,4.1,
143994283,FP,2458492.904,1.90879,1.909,618.482,985.807,10.5551,235.974,6022.6,4.52,1.22
47384844,FA,2458547.448,3.09574,4.475,380,18087.9,8.72924,120.666,6084,4.13,1.41
238374636,FP,2459303.304,1.3214483,3.435,2180,35623.2,9.697,316.398,5050.8,3.56,2.99
141482386,FP,2458339.723,18.0157,2.524,610,7.64364,10.0814,692.266,4709,,7.61
297967252,PC,2458545.15,9.6837921,2.4006056,4238.239901,3176.310692,5.5324,129.838,8598.7,,
388624270,FP,2460720.808,14.2628757,6.9350494,913.2067174,153.2069421,9.9138,105.677,5690,4.58,0.853898
20318757,PC,2460037.869,3.2834565,1.537,1558,161.092,10.2103,56.3449,4272,4.6,0.68
20318757,PC,2460032.533,11.02875,2.715,1694,15.0463,10.2103,56.3449,4272,4.6,0.68
20318757,PC,2460032.573,5.0113292,1.024,1210,17.1793,10.2103,56.3449,4272,4.6,0.68
447283466,FP,2458544.481,1.01606,2.843,240,2784.04,7.9059,23.7748,4634,4.64,0.68
374908020,FP,2458365.893,36.22214,5.107,7170,,6.841,,,,
336732616,KP,2458327.253,3.547854,3.494333,10424.3718,1212.004376,11.5232,411.211,6351,4.22896,1.4
464296022,FP,2460054.784,12.1246519,4.612,7279,207.32,9.5706,78.41273,4807.6,4.17,1.07
304021498,FP,2459304.838,5.652623,3.434,1250,2717.06,9.7318,270.771,6415.4,3.98,1.92
146589986,PC,2459283.829,5.6643704,3.8087395,3491.823297,7657.662151,9.7611,587.196,10395,4.13,2.3383701
149601557,FP,2460195.101,29.0160175,5.345,1389,33.2234,10.0163,219.94,6113.1,,2.01
400595342,FP,2460768.617,3.6404389,2.5339234,476.3077321,9941.226551,9.8174,363.44,9810,4.43,1.60776
361413119,PC,2459286.873,6.0744477,2.4954821,5982.521241,1487.564434,10.1126,347.556,5964,3.7,2.4303801
146172354,PC,2460037.172,3.7795212,2.952,2761,466.528,10.2855,184.015,5771,4.31,1.18
363260203,FP,2459331.125,1.2025238,1.991,390,208477,9.0211,279.698,9158,4.32,1.74
90544017,FP,2459273.372,3.2235985,2.159,680,2064.8,8.7157,280.765,8904,4.09,2.17
461867584,APC,2460031.217,4.420125,3.956,2466,,8.5483,2864.34,,,
231670397,KP,2460150.609,4.0872956,5.586113,3572.17125,2242.36054,9.8638,316.678,6036,3.93359,2.2186699
310483807,FP,2458520.657,2.55555,1.566,340,3520.68,8.3854,732.432,10037,,6.04
385624852,FP,2459261.801,8.30792,3.228,8350,2276.25,8.0981,305.034,9081,3.83,3.05
360286627,PC,2459281.338,0.758082,1.8184632,583.93181,216218.1005,9.718,792.633,9917,3.75,3.5086601
90448944,FP,2459985.77,1.4415577,2.349,507,16861.8,9.5719,208.055,6902,4.25,1.52
463402815,PC,2460037.195,1.0085089,1.642,3051,,10.0031,494.689,5215.2,,
54044474,FP,2459301.544,3.7039994,4.277,7590,3546.13,9.6306,300.696,7013.8,4.21,1.9
309787037,FP,2460177.867,1.3042553,1.706,914,26944.7,10.0119,301.298,6762,4.11,1.75
370745311,FP,2458544.791,0.62627,0.666,1880,3235.57,10.2355,134.926,5622,4.5,0.93
384549882,FP,2458518.376,0.30412,0.748,1330,280833,8.802,440.426,11892,4.14,2.52
16288184,KP,2459363.821,2.1805277,2.969175,16340.13532,1770.465054,11.0657,314.995,6599,4.21017,1.2714601
144065872,KP,2459084.585,2.1846669,2.86528,11708.02285,1362.138143,9.4995,137.544,5630,4.37759,1.23824
66818296,KP,2459355.546,3.7354838,4.142,17030,1292.19,11.0261,405.908,6650,4.1639,1.57
259863352,FA,2458657.737,21.701669,8.2676424,211.6567325,52.095,7.1278,53.19149,5625,4.438,1.56486
317060587,CP,2458332.941,9.139804,3.0912936,358.4157801,243.011763,9.0197,129.804,5958.2,4.34,1.58
112395568,FP,2458657.999,5.742625,2.860293,1105.760867,,8.8849,263.729,5664,3.26574,3.86959
366989877,CP,2460122.7,15.5077855,4.565,513,88.0718,8.4362,88.4343,6122,4.30881,1.17
320004517,CP,2458661.063,17.4713078,4.4284819,1199.754148,53.3700317,8.0888,57.2651,5783.54,4.49925,0.974669
421894914,PC,2458326.062,5.3079507,3.2158594,391.3830934,603.2401116,9.6663,168.354,6124.3,4.38,1.36963
323132914,PC,2458607.351,51.1701501,6.6641048,851.4547808,11.2148229,9.4091,98.2855,5599,4.46138,0.943356
31553893,PC,2458663.023,11.1296441,7.0473822,951.6169809,1255.681716,9.3781,338.831,5785,4.344,3.4475601
380783252,PC,2460106.338,9.4496506,2.021,19750,38.5799,9.7825,98.8783,5509,4.39758,0.94
38846515,KP,2460201.639,2.8493825,3.567,8049,2005.83,10.3157,364.411,6900,4.438,1.77
101230735,APC,2460149.536,2.0685633,0.373,502,24.409,9.6652,128.491,5687.9,4.6,1.14
253990973,FP,2458654.253,0.540933,1.674337,257.347459,,9.7345,133.171,5525,4.25342,1.21935
299799658,CP,2460177.2,4.1150576,1.08,487,77.3573,9.478,82.1733,5394,4.50942,0.89
406976746,PC,2458629.392,10.0665238,2.4023189,839.9044871,54.8791715,9.0689,61.1201,5552,4.61783,0.791742
79748331,CP,2458656.668,6.4438657,1.9309449,1121.951228,60.831305,10.0059,68.0726,4803,4.52079,0.737189
79748331,CP,2458664.49,12.2265595,2.1904379,1206.369329,25.8970378,10.0059,68.0726,4803,4.52079,0.737189
7088246,KP,2458654.348,2.160344,1.828854,19357.99299,,13.2851,639.004,5780,4.32928,1.2
201604954,KP,2458657.833,4.606184,3.121643,13793.03487,,11.9707,353.891,5670,4.3925,1.07
201642601,KP,2458656.988,3.1316735,2.4579197,14915.69437,148.6544991,13.1686,263.609,4351,4.438,0.76701
6663331,KP,2458656.633,3.180362,2.111521,21192.46332,,13.2887,535.383,5498,4.47934,0.92
31858843,KP,2460147.379,2.9776446,2.962,13022,758.324,10.4293,197.996,5703,4.25824,1.22
92352620,KP,2460176.993,3.9502008,4.444,13914,1009.38,9.6433,211.211,6153,4.18077,1.71
31858844,FP,2458655.579,2.9776152,3.25697,43218.11168,873.27,15.7114,,5740,4.29219,1.28
120247528,KP,2458655.394,3.5544026,2.0550535,10164.87534,515.0014435,11.5803,290.198,5639,4.37172,1.11499
140830390,FP,2459211.732,12.8379689,9.8464123,10539.01928,374.129,11.7106,703.878,5765,4.34773,2.4494
158297421,CP,2459036.473,3.9228016,1.8736007,31510.90049,91.167589,13.6699,300.67,4444,4.438,0.6983
327301957,PC,2458662.653,13.9428705,3.7522756,1015.395543,28.0927293,10.6339,107.356,5206,4.63095,0.741671
351601843,CP,2458654.25,0.6047392,1.0403847,1027.683348,528.0253155,11.1186,61.4592,4046,4.60963,0.580337
360742636,KP,2458654.163,2.5495611,2.6173308,14921.40219,757.1284067,11.2474,248.46,5659,4.44653,1.03997
369960846,PC,2458654.103,1.6062693,1.9561305,16725.30193,844.2700581,13.461,463.683,5192,4.4617,0.984326
370133522,CP,2458654.103,0.5182425,0.8565249,831.8920424,255.1405815,10.1165,20.373,3325,4.88693,0.390989
379240073,PC,2458656.38,3.1644075,2.0576293,5603.463547,2206.155048,13.1284,1179.27,6519,4.22068,1.7234
289793076,KP,2458328.084,3.0440541,2.5984575,22236.01654,315.9871326,13.163,421.855,5523,4.52192,0.809868
161032923,PC,2458654.061,3.9652485,1.0112593,3680.754444,5.2829448,12.7067,25.559,3296,4.96636,0.199988
253728991,PC,2458654.026,2.98278,3.109528,6136.231662,,11.5247,354.05,6027,4.29978,1.23975
261108236,PC,2458626.086,16.3469053,3.5865698,2212.425725,8.9995944,11.8835,100.248,4310,4.57345,0.649613
322270620,PC,2458627.916,12.9802953,2.5034417,2407.260867,4.7341229,12.0936,68.9109,3614,4.81257,0.491323
380589029,KP,2458653.973,1.3484961,2.4074261,18463.76367,2706.960623,12.2851,494.182,6346,4.38484,1.14759
381979901,APC,2460041.175,3.2541181,4.341,13620,1436.45,11.6577,444.066,6102,4.28649,1.28
468148930,PC,2458655.291,3.7178828,5.5277827,4864.840513,1925.142617,12.2303,736.397,5818,4.33787,2.0840001
426077080,FP,2458630.772,9.30992,3.464,2220,215.208,9.4142,416.25,6907,3.63,3.09
343648136,FA,2458626.39,1.15395,2.236,1550,3534.3,10.4613,240.901,6093,4.2,1.4
129319156,FP,2458643.103,4.73703,3.902,2410,53821,10.3918,778.127,11600,4.13,2.48
29344935,KP,2458326.127,2.76676,2.6872178,14947.43878,505.8840075,13.2366,513.011,5346,4.48823,0.984866
361034196,FP,2458628.963,2.19296,4.586,4933.74,31883.5,10.0196,566.502,7009.8,3.6,2.95
193413306,PC,2459359.555,1.725841,3.674,2710,50469.2,9.3529,321.671,7348,3.9,2.39
387079085,FP,2458601.381,1.1923,3.119,3730,40771.2,9.0039,209.919,6534,3.95,2.04
382331352,FP,2458601.338,11.47606,6.083,3050,,10.0067,1710.22,,,
136274063,APC,2459360.161,0.5971314,0.468,910,1596.43,9.9806,426.003,7710,3.98,2.28
375223080,PC,2459307.386,1.4821386,2.1867078,2102.65683,18197.13545,10.4291,582.521,7066,3.78,2.6647301
375225453,FP,2459307.936,0.9209526,1.8602735,360.8801529,32740.36294,10.11,490.288,6553,3.65,2.8908899
