# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Sat Oct  4 03:27:28 2025,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,,,,,,,
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag,,,,,,,,,,,,,,,,,,,
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag,,,,,,,,,,,,,,,,,,,
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag,,,,,,,,,,,,,,,,,,,
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag,,,,,,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN koi_time0bk:    Transit Epoch [BKJD],,,,,,,,,,,,,,,,,,,
# COLUMN koi_time0:      Transit Epoch [BJD],,,,,,,,,,,,,,,,,,,
# COLUMN koi_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,
# COLUMN koi_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,
# COLUMN koi_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,
# COLUMN koi_sma:        Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,,
# COLUMN koi_incl:       Inclination [deg],,,,,,,,,,,,,,,,,,,
# COLUMN koi_model_snr:  Transit Signal-to-Noise,,,,,,,,,,,,,,,,,,,
# COLUMN koi_count:      Number of Planets,,,,,,,,,,,,,,,,,,,
# COLUMN koi_bin_oedp_sig: Odd-Even Depth Comparision Statistic,,,,,,,,,,,,,,,,,,,
# COLUMN koi_datalink_dvr: Link to DV Report,,,,,,,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,
# COLUMN koi_sage:       Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,
# COLUMN koi_kepmag:     Kepler-band [mag],,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
10797460,candidate,9.48803557,170.53875,2455003.539,0,0.146,2.9575,615.8,0.0853,89.66,35.8,2,0.6864,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,5455,4.467,0.927,0.919,15.347
10797460,candidate,54.4183827,162.51384,2454995.514,0,0.586,4.507,874.8,0.2734,89.57,25.8,2,0.0023,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,5455,4.467,0.927,0.919,15.347
10811496,candidate,19.89913995,175.850252,2455008.85,0,0.969,1.7822,10829,0.1419,88.96,76.3,1,0.6624,010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf,5853,4.544,0.868,0.961,15.436
10848459,non-candidate,1.736952453,170.307565,2455003.308,0,1.276,2.40641,8079.2,0.0267,67.09,505.6,1,0,010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf,5805,4.564,0.791,0.836,15.597
10854555,candidate,2.525591777,171.59555,2455004.596,0,0.701,1.6545,603.3,0.0374,85.41,40.9,1,0.309,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,6031,4.438,1.046,1.095,15.509
10872983,candidate,11.09432054,171.20116,2455004.201,0,0.538,4.5945,1517.5,0.0992,88.11,66.5,3,0.0975,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,6046,4.486,0.972,1.053,15.714
10872983,candidate,4.13443512,172.97937,2455005.979,0,0.762,3.1402,686,0.0514,83.72,40.2,3,0.546,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,6046,4.486,0.972,1.053,15.714
10872983,candidate,2.56658897,179.55437,2455012.554,0,0.755,2.429,226.5,0.0374,82.17,15,3,0.4352,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,6046,4.486,0.972,1.053,15.714
6721123,non-candidate,7.36178958,132.25053,2454965.251,0,1.169,5.022,233.7,0.082,60.92,47.7,1,0.7213,006/006721/006721123/dv/kplr006721123-20160209194854_dvr.pdf,6227,3.986,1.958,1.358,12.66
10910878,candidate,16.06864674,173.621937,2455006.622,0,0.052,3.5347,4914.3,0.1158,89.92,161.9,3,0.1819,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,5031,4.485,0.848,0.801,15.841
11446443,candidate,2.470613377,122.763305,2454955.763,0,0.818,1.74319,14231,0.0354,84.41,4304.3,1,0.1522,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,5820,4.457,0.964,0.971,11.338
10666592,candidate,2.204735417,121.3585417,2454954.359,0,0.224,3.88864,6674.7,0.0376,87.21,5945.9,1,0,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,6440,4.019,1.952,1.449,10.463
6922244,candidate,3.522498429,121.1194228,2454954.119,0,0.631,3.19843,9145.7,0.0473,85.2,1741.5,1,0.6662,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,6225,4.169,1.451,1.132,13.563
